model,split,test_size,n_train,n_test,accuracy,macro_f1,weighted_f1,macro_prec,macro_recall,fit_seconds,pred_seconds,flows_per_sec,recall::BENIGN,recall::Bot,recall::DDoS,recall::DoS GoldenEye,recall::DoS Hulk,recall::DoS Slowhttptest,recall::DoS slowloris,recall::FTP-Patator,recall::Heartbleed,recall::Infiltration,recall::PortScan,recall::SSH-Patator,recall::Web Attack - Brute Force,recall::Web Attack - Sql Injection,recall::Web Attack - XSS,f1::BENIGN,f1::Bot,f1::DDoS,f1::DoS GoldenEye,f1::DoS Hulk,f1::DoS Slowhttptest,f1::DoS slowloris,f1::FTP-Patator,f1::Heartbleed,f1::Infiltration,f1::PortScan,f1::SSH-Patator,f1::Web Attack - Brute Force,f1::Web Attack - Sql Injection,f1::Web Attack - XSS,sample
naive_bayes,60/40,0.4,240033,160022,0.7091462423916711,0.4759012499072248,0.8121108632455695,0.4368481102995962,0.8302836042031244,1.3,1.3,122704,0.6614368414351939,1.0,0.977378408948096,0.94679186228482,0.9345681310498885,0.7938461538461539,0.6137724550898204,1.0,1.0,0.7857142857142857,0.9808680248007086,0.91,0.0109890109890109,0.8888888888888888,0.95,0.796068375298004,0.0072333811573409,0.9634539147670962,0.2907256126862085,0.9079072290790724,0.2179054054054054,0.0981800766283524,0.8282828282828283,1.0,0.012621916236374,0.9772326156018356,0.5062586926286509,0.0028169014084507,0.1167883211678832,0.4130434782608695,400000
lda,60/40,0.4,240033,160022,0.908012648260864,0.4545418916384517,0.9175078862697272,0.4367224835585571,0.5980766355411035,3.76,0.18,869628,0.9376839488051284,0.0,0.5715722005781073,0.7777777777777778,0.8003536857781087,0.7415384615384616,0.3473053892215569,0.6747967479674797,1.0,0.2857142857142857,0.9881310894596989,0.9,0.8351648351648352,0.1111111111111111,0.0,0.9512731582606184,0.0,0.6683321087435709,0.6826923076923077,0.8630934457492723,0.5005192107995846,0.3972602739726027,0.342032967032967,0.8333333333333334,0.3809523809523809,0.7550592216582064,0.3596403596403596,0.068314606741573,0.015625,0.0,400000
qda,60/40,0.4,240033,160022,0.3664808588819037,0.3108519920479117,0.4793982416714841,0.3213315532809426,0.5863711021339817,1.92,2.82,56783,0.2817140845808775,0.2479338842975206,0.6301369863013698,0.2378716744913928,0.8790953090096798,0.8553846153846154,0.5718562874251497,0.2981029810298103,1.0,0.2857142857142857,0.9842338352524358,0.985,0.0329670329670329,0.5555555555555556,0.95,0.439368809568305,0.0009524414248523,0.6940753045404208,0.288698955365622,0.8082666552565145,0.3954480796586059,0.1848089017900338,0.0477016478751084,1.0,0.0181818181818181,0.6052946944111559,0.1070943191084533,0.0023112480739599,0.0007882084023015,0.0697887970615243,400000
sgd,60/40,0.4,240033,160022,0.9611303445776206,0.3566903235568636,0.9586386885579672,0.4663948870429645,0.3311207544830077,6.3,0.14,1162534,0.9801466348134114,0.0,0.9171798416488628,0.5273865414710485,0.8891474311243485,0.1661538461538461,0.3562874251497006,0.002710027100271,0.0,0.1428571428571428,0.9849424269264836,0.0,0.0,0.0,0.0,0.977197383746976,0.0,0.9521200260926288,0.6406844106463878,0.937763816629037,0.2547169811320754,0.5185185185185185,0.005,0.0,0.25,0.8143537165873307,0.0,0.0,0.0,0.0,400000
decision_tree,60/40,0.4,240033,160022,0.997925285273275,0.886747154041075,0.997924970208292,0.903237234387228,0.876151803312742,20.78,0.13,1204013,0.9991013188146396,0.7933884297520661,0.9994972979766245,0.9874804381846636,0.9967423678332092,0.9846153846153848,0.9850299401197604,0.997289972899729,1.0,0.6428571428571429,0.987422497785651,0.985,0.7032967032967034,0.5555555555555556,0.525,0.999000318250744,0.7933884297520661,0.9994972979766245,0.9859375,0.9973921952128156,0.9770992366412212,0.9894736842105264,0.9945945945945946,1.0,0.782608695652174,0.9883854951680112,0.9899497487437184,0.7272727272727273,0.5882352941176471,0.4883720930232558,400000
lightgbm,60/40,0.4,240033,160022,0.1910299833772856,0.0491526673993052,0.2424722832777705,0.1081124787012804,0.1117934296422343,39.74,7.68,20838,0.1557414494229718,0.0,0.4146034937790624,0.0359937402190923,0.0799516008935219,0.0,0.0,0.0,0.0,0.0,0.9906111603188662,0.0,0.0,0.0,0.0,0.2645178933711531,0.0,0.1788512103223008,0.0578616352201257,0.1348191163776191,0.0,0.0,0.0,0.0,0.0,0.1012401556983796,0.0,0.0,0.0,0.0,400000
xgboost,60/40,0.4,240033,160022,0.9983377285623228,0.8627423150435798,0.9983180972824828,0.9145673354479495,0.8420260807405985,58.98,1.89,84773,0.9991387638640296,0.7933884297520661,0.9996229734824684,0.9984350547730828,0.9972077438570364,0.9846153846153848,0.9820359281437124,0.991869918699187,1.0,0.5714285714285714,0.9980513728963684,0.995,0.7362637362637363,0.3333333333333333,0.25,0.9992772104066722,0.8135593220338984,0.9996857914912336,0.9860896445131376,0.9977649469174892,0.9846153846153848,0.9894419306184012,0.9945652173913044,1.0,0.7272727272727273,0.9933879925945516,0.9974937343358397,0.6802030456852792,0.5,0.2777777777777778,400000
random_forest,60/40,0.4,240033,160022,0.9979377835547611,0.861068491770272,0.9978900988821664,0.9038293856157638,0.8386514404446611,47.7,1.87,85693,0.9994158572295156,0.7024793388429752,0.9991202714590928,0.9984350547730828,0.9947877885331348,0.9846153846153848,0.9880239520958084,0.991869918699187,1.0,0.6428571428571429,0.9867139061116031,0.975,0.7692307692307693,0.2222222222222222,0.325,0.9989707197850114,0.776255707762557,0.9995599421638272,0.9937694704049844,0.9969219289245406,0.9891808346213292,0.9924812030075189,0.9959183673469388,1.0,0.75,0.9886403975860844,0.9873417721518988,0.7368421052631579,0.3333333333333333,0.3768115942028985,400000
hist_gb,60/40,0.4,240033,160022,0.9868018147504718,0.6179297903759248,0.9903626557804124,0.5939929716603631,0.6869598615347051,14.02,1.89,84835,0.9877180238000732,0.71900826446281,0.9969837878597462,0.8685446009389671,0.9908786299329858,0.6984615384615385,0.9191616766467066,1.0,0.0,0.0,0.9943312666076174,0.995,0.912087912087912,0.2222222222222222,0.0,0.99263552034922,0.4715447154471545,0.99817552689525,0.8922829581993569,0.993560429304713,0.6776119402985075,0.8319783197831978,0.9919354838709676,0.0,0.0,0.9902964008468595,0.9851485148514852,0.4181360201511335,0.0256410256410256,0.0,400000
catboost,60/40,0.4,240033,160022,0.9985377010661034,0.8767772154455918,0.99850548012923,0.9167124621402394,0.855155490646346,659.83,0.89,179786,0.9992735660418336,0.768595041322314,0.9996229734824684,1.0,0.997300819061802,0.9938461538461538,0.9850299401197604,0.991869918699187,1.0,0.6428571428571429,0.9984056687333924,0.99,0.8021978021978022,0.3333333333333333,0.325,0.9993409227082084,0.8303571428571429,0.9997486173956762,0.9899302865995352,0.9978116124225916,0.9847560975609756,0.9924585218702866,0.9945652173913044,1.0,0.782608695652174,0.9941788675251368,0.9949748743718592,0.7525773195876289,0.4615384615384615,0.3768115942028985,400000
