test_size,kernel,classifier,components,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.4,none,NB,0,6201,4135,0.7804,0.6187,0.0,0.0
0.4,none,KNN,0,6201,4135,0.9625,0.7332,0.1,0.0
0.4,none,SVM,0,6201,4135,0.9284,0.484,1.1,0.0
0.4,linear,LR,5,6201,4135,0.8839,0.2639,0.5,0.7
0.4,linear,SGD,5,6201,4135,0.8496,0.2288,0.3,0.7
0.4,linear,DT,5,6201,4135,0.9611,0.7414,0.1,0.7
0.4,linear,RF,5,6201,4135,0.9732,0.7859,0.8,0.7
0.4,linear,NB,5,6201,4135,0.7052,0.3216,0.0,0.7
0.4,linear,KNN,5,6201,4135,0.955,0.7368,0.0,0.7
0.4,linear,SVM,5,6201,4135,0.8965,0.3517,0.7,0.7
0.4,poly,LR,5,6201,4135,0.8073,0.1332,1.0,0.9
0.4,poly,SGD,5,6201,4135,0.8399,0.2097,1.1,0.9
0.4,poly,DT,5,6201,4135,0.919,0.5914,0.0,0.9
0.4,poly,RF,5,6201,4135,0.9504,0.6514,0.7,0.9
0.4,poly,NB,5,6201,4135,0.1091,0.2089,0.0,0.9
0.4,poly,KNN,5,6201,4135,0.9453,0.636,0.0,0.9
0.4,poly,SVM,5,6201,4135,0.8092,0.1448,0.8,0.9
0.4,rbf,LR,5,6201,4135,0.8767,0.153,0.1,1.5
0.4,rbf,SGD,5,6201,4135,0.8767,0.1545,0.1,1.5
0.4,rbf,DT,5,6201,4135,0.9485,0.69,0.1,1.5
0.4,rbf,RF,5,6201,4135,0.9599,0.7426,0.7,1.5
0.4,rbf,NB,5,6201,4135,0.794,0.3123,0.0,1.5
0.4,rbf,KNN,5,6201,4135,0.9461,0.6716,0.0,1.5
0.4,rbf,SVM,5,6201,4135,0.9103,0.2315,0.7,1.5
0.4,sigmoid,LR,5,6201,4135,0.8762,0.1533,0.1,0.9
0.4,sigmoid,SGD,5,6201,4135,0.8774,0.1536,0.1,0.9
0.4,sigmoid,DT,5,6201,4135,0.9519,0.6866,0.1,0.9
0.4,sigmoid,RF,5,6201,4135,0.963,0.7517,0.7,0.9
0.4,sigmoid,NB,5,6201,4135,0.8755,0.4013,0.0,0.9
0.4,sigmoid,KNN,5,6201,4135,0.9557,0.7395,0.0,0.9
0.4,sigmoid,SVM,5,6201,4135,0.919,0.4056,0.6,0.9
0.4,cosine,LR,5,6201,4135,0.888,0.1883,0.1,0.7
0.4,cosine,SGD,5,6201,4135,0.8796,0.1579,0.1,0.7
0.4,cosine,DT,5,6201,4135,0.9553,0.7124,0.1,0.7
0.4,cosine,RF,5,6201,4135,0.9659,0.779,0.7,0.7
0.4,cosine,NB,5,6201,4135,0.837,0.4161,0.0,0.7
0.4,cosine,KNN,5,6201,4135,0.9572,0.7432,0.0,0.7
0.4,cosine,SVM,5,6201,4135,0.9195,0.2346,0.5,0.7
0.4,linear,LR,10,6201,4135,0.9083,0.4307,0.4,0.9
0.4,linear,SGD,10,6201,4135,0.8871,0.3967,0.3,0.9
0.4,linear,DT,10,6201,4135,0.9688,0.7569,0.1,0.9
0.4,linear,RF,10,6201,4135,0.9797,0.8114,0.8,0.9
0.4,linear,NB,10,6201,4135,0.7719,0.4116,0.0,0.9
0.4,linear,KNN,10,6201,4135,0.9613,0.7532,0.0,0.9
0.4,linear,SVM,10,6201,4135,0.9129,0.4113,0.7,0.9
0.4,poly,LR,10,6201,4135,0.8094,0.1487,1.1,0.8
0.4,poly,SGD,10,6201,4135,0.7923,0.158,1.7,0.8
0.4,poly,DT,10,6201,4135,0.9383,0.6769,0.1,0.8
0.4,poly,RF,10,6201,4135,0.9632,0.7649,0.8,0.8
0.4,poly,NB,10,6201,4135,0.1037,0.2433,0.0,0.8
0.4,poly,KNN,10,6201,4135,0.942,0.6261,0.0,0.8
0.4,poly,SVM,10,6201,4135,0.808,0.1167,1.0,0.8
0.4,rbf,LR,10,6201,4135,0.8909,0.1919,0.1,1.4
0.4,rbf,SGD,10,6201,4135,0.8808,0.1585,0.1,1.4
0.4,rbf,DT,10,6201,4135,0.9533,0.7205,0.1,1.4
0.4,rbf,RF,10,6201,4135,0.9632,0.7577,0.9,1.4
0.4,rbf,NB,10,6201,4135,0.7898,0.3749,0.0,1.4
0.4,rbf,KNN,10,6201,4135,0.9511,0.7019,0.0,1.4
0.4,rbf,SVM,10,6201,4135,0.9112,0.2169,0.6,1.4
0.4,sigmoid,LR,10,6201,4135,0.8909,0.1918,0.1,0.9
0.4,sigmoid,SGD,10,6201,4135,0.8817,0.1651,0.1,0.9
0.4,sigmoid,DT,10,6201,4135,0.9574,0.7566,0.1,0.9
0.4,sigmoid,RF,10,6201,4135,0.9717,0.7694,0.8,0.9
0.4,sigmoid,NB,10,6201,4135,0.9016,0.5689,0.0,0.9
0.4,sigmoid,KNN,10,6201,4135,0.9586,0.7388,0.0,0.9
0.4,sigmoid,SVM,10,6201,4135,0.926,0.494,0.6,0.9
0.4,cosine,LR,10,6201,4135,0.8999,0.2132,0.1,0.8
0.4,cosine,SGD,10,6201,4135,0.8892,0.2001,0.1,0.8
0.4,cosine,DT,10,6201,4135,0.9526,0.7196,0.1,0.8
0.4,cosine,RF,10,6201,4135,0.9678,0.7788,0.9,0.8
0.4,cosine,NB,10,6201,4135,0.8576,0.4514,0.0,0.8
0.4,cosine,KNN,10,6201,4135,0.9572,0.7339,0.0,0.8
0.4,cosine,SVM,10,6201,4135,0.927,0.375,0.5,0.8
0.4,linear,LR,15,6201,4135,0.9267,0.493,0.3,1.2
0.4,linear,SGD,15,6201,4135,0.8914,0.3373,0.3,1.2
0.4,linear,DT,15,6201,4135,0.9698,0.7851,0.2,1.2
0.4,linear,RF,15,6201,4135,0.9782,0.803,0.9,1.2
0.4,linear,NB,15,6201,4135,0.8268,0.4599,0.0,1.2
0.4,linear,KNN,15,6201,4135,0.9606,0.7375,0.1,1.2
0.4,linear,SVM,15,6201,4135,0.927,0.4467,0.7,1.2
0.4,poly,LR,15,6201,4135,0.8817,0.2809,0.8,0.9
0.4,poly,SGD,15,6201,4135,0.8278,0.183,2.2,0.9
0.4,poly,DT,15,6201,4135,0.9596,0.7331,0.2,0.9
0.4,poly,RF,15,6201,4135,0.9717,0.7688,0.8,0.9
0.4,poly,NB,15,6201,4135,0.1371,0.3167,0.0,0.9
0.4,poly,KNN,15,6201,4135,0.9473,0.683,0.1,0.9
0.4,poly,SVM,15,6201,4135,0.8326,0.1527,1.0,0.9
0.4,rbf,LR,15,6201,4135,0.8955,0.1961,0.1,1.7
0.4,rbf,SGD,15,6201,4135,0.8948,0.1961,0.1,1.7
0.4,rbf,DT,15,6201,4135,0.9511,0.7215,0.2,1.7
