test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.2,sigmoid,default,0.014492753623188406,RF,10,0,8268,2068,0.9768,0.8024,2.0,1.6
0.2,sigmoid,default,0.014492753623188406,NB,10,0,8268,2068,0.8999,0.5444,0.0,1.6
0.2,sigmoid,default,0.014492753623188406,KNN,10,0,8268,2068,0.9632,0.746,0.0,1.6
0.2,sigmoid,default,0.014492753623188406,SVM,10,0,8268,2068,0.942,0.5114,0.7,1.6
0.2,sigmoid,0.05,0.05,LR,10,0,8268,2068,0.8951,0.2812,0.2,2.0
0.2,sigmoid,0.05,0.05,SGD,10,0,8268,2068,0.898,0.2671,0.1,2.0
0.2,sigmoid,0.05,0.05,DT,10,0,8268,2068,0.9637,0.7378,0.3,2.0
0.2,sigmoid,0.05,0.05,RF,10,0,8268,2068,0.9773,0.7982,2.1,2.0
0.2,sigmoid,0.05,0.05,NB,10,0,8268,2068,0.8723,0.5468,0.0,2.0
0.2,sigmoid,0.05,0.05,KNN,10,0,8268,2068,0.9632,0.7711,0.1,2.0
0.2,sigmoid,0.05,0.05,SVM,10,0,8268,2068,0.9449,0.6223,0.7,2.0
0.2,sigmoid,0.1,0.1,LR,10,0,8268,2068,0.9028,0.338,0.2,1.9
0.2,sigmoid,0.1,0.1,SGD,10,0,8268,2068,0.883,0.1905,0.1,1.9
0.2,sigmoid,0.1,0.1,DT,10,0,8268,2068,0.9628,0.7783,0.2,1.9
0.2,sigmoid,0.1,0.1,RF,10,0,8268,2068,0.9749,0.7913,2.3,1.9
0.2,sigmoid,0.1,0.1,NB,10,0,8268,2068,0.8781,0.5319,0.0,1.9
0.2,sigmoid,0.1,0.1,KNN,10,0,8268,2068,0.9618,0.7567,0.1,1.9
0.2,sigmoid,0.1,0.1,SVM,10,0,8268,2068,0.9439,0.6332,0.6,1.9
0.2,rbf,0.001,0.001,LR,15,0,8268,2068,0.8941,0.2645,0.2,3.2
0.2,rbf,0.001,0.001,SGD,15,0,8268,2068,0.8965,0.252,0.1,3.2
0.2,rbf,0.001,0.001,DT,15,0,8268,2068,0.9676,0.7458,0.3,3.2
0.2,rbf,0.001,0.001,RF,15,0,8268,2068,0.9749,0.7764,2.5,3.2
0.2,rbf,0.001,0.001,NB,15,0,8268,2068,0.7481,0.4439,0.0,3.2
0.2,rbf,0.001,0.001,KNN,15,0,8268,2068,0.9662,0.7507,0.1,3.2
0.2,rbf,0.001,0.001,SVM,15,0,8268,2068,0.9342,0.4911,1.0,3.2
0.2,rbf,0.005,0.005,LR,15,0,8268,2068,0.9134,0.2755,0.2,2.8
0.2,rbf,0.005,0.005,SGD,15,0,8268,2068,0.9163,0.2776,0.1,2.8
0.2,rbf,0.005,0.005,DT,15,0,8268,2068,0.9574,0.7085,0.4,2.8
0.2,rbf,0.005,0.005,RF,15,0,8268,2068,0.9753,0.7955,2.2,2.8
0.2,rbf,0.005,0.005,NB,15,0,8268,2068,0.8046,0.4874,0.0,2.8
0.2,rbf,0.005,0.005,KNN,15,0,8268,2068,0.9618,0.7231,0.0,2.8
0.2,rbf,0.005,0.005,SVM,15,0,8268,2068,0.9362,0.3755,0.6,2.8
0.2,rbf,default,0.014492753623188406,LR,15,0,8268,2068,0.9091,0.2141,0.2,2.8
0.2,rbf,default,0.014492753623188406,SGD,15,0,8268,2068,0.9062,0.2232,0.1,2.8
0.2,rbf,default,0.014492753623188406,DT,15,0,8268,2068,0.9637,0.7323,0.4,2.8
